time_s,pos_x,pos_y,theta,lateral_error,angular_w,target_y
10.0700001,4.791779965106217,0.0007954767536873269,-0.004989133415998079,-0.0019926306389723165,0.2686342467417418,0.0
10.0800001,4.796779787302134,0.0007533103070451076,-0.008433389294751239,-0.0002950707067730699,0.5080876968326817,0.0
10.0900001,4.8017797047309925,0.0007245752310886837,-0.00574704682733382,3.7543528845649364e-05,0.09993444480099833,0.0
10.1000001,4.806779703621537,0.0007212443820400106,-0.0006661698590070021,-0.00026348374408564825,-0.09136211685573187,0.0
10.1100001,4.8117797033440235,0.0007229102549542054,0.00033317458900298125,-0.00028307264856645265,-0.007008961938507127,0.0
10.1200001,4.816779702501728,0.0007200080222194029,-0.0005804465795543374,1.598306524974727e-05,0.08978064640585898,0.0
10.1300001,4.821779701443735,0.0007167553414541268,-0.0006505361989394087,-0.0014854333842372002,-0.456366668383033,0.0
10.1400001,4.826779701290879,0.0007179916927671238,0.000247270265119181,0.0004351612358107135,0.343633331616967,0.0
10.1500001,4.831779654712756,0.0006964097776901571,-0.004316396418711149,-7.057901629064166e-05,-0.15200439169556912,0.0
10.1600001,4.836779652776478,0.0006920094627454652,-0.0008800631025414792,-0.0015843238465594563,-0.46046074446688223,0.0
10.1700001,4.8417796383752005,0.0006800089391695172,-0.0024001070194971707,-4.4583973434634714e-05,0.3395392555331178,0.0
10.1800001,4.84677951571064,0.0006449856532592288,-0.007004714464165993,-0.0010184902650360824,-0.29624584854057867,0.0
10.1900001,4.851779483142664,0.0006269390828978418,-0.003609321908834815,0.0001908929178366381,0.3635785265331627,0.0
10.2000001,4.856779375172309,0.000594080417446134,-0.006571780394240601,-0.0012473913891341763,-0.43642147346683735,0.0
10.2100001,4.861779353622156,0.0005794004628919766,-0.002935995128908974,-0.0030672001428952433,-0.558211426699901,0.0
10.2200001,4.866779220390088,0.0005428997377820192,-0.007300209863577348,-0.0013571295159097458,0.24178857330009906,0.0
10.2300001,4.871778805510138,0.0004784898986783224,-0.012882324130576358,-0.0016811887659517596,-0.10394253007641119,0.0
10.2400001,4.876778531751459,0.00042616866160420956,-0.010464438397575366,-0.00018096485290180022,0.4493433145033805,0.0
10.2500001,4.881778200907907,0.0003686506117778153,-0.011503863698339478,2.823339605118356e-06,0.055147751110496024,0.0
10.2600001,4.8867780780430685,0.0003335987461235624,-0.007010430553305673,0.0016804727248205147,0.510016706463901,0.0
10.2700001,4.891777973748245,0.00030130420545799346,-0.0064589530422007125,5.8695874089396234e-05,-0.2899832935360991,0.0
10.2800001,4.896777969132497,0.00029451027766078943,-0.001358785977561703,-0.0002915928267049631,-0.10625298154512763,0.0
10.2900001,4.901777923792978,0.0002732172474574594,-0.0042586189129226945,-0.0020772425540402165,-0.5440038884167369,0.0
10.3000001,4.906777853006585,0.0002466116293706821,-0.005321148728373971,0.00021540983538236914,0.2559961115832632,0.0
10.3100001,4.911777563501482,0.00019280672978489436,-0.010761187612541339,0.00037245957644564253,0.0486047606247646,0.0
10.3200001,4.916777395352134,0.0001518010569793432,-0.008201226496708708,0.001468494654957102,0.3346845021732663,0.0
10.3300001,4.921777246542908,0.00011322554522439469,-0.007715178890461062,-0.0007345621050411748,-0.46531549782673376,0.0
10.3400001,4.926777198837132,9.138394534571604e-05,-0.004368333868728399,0.0007756902489826872,0.3346845021732663,0.0
10.3500001,4.93177699537036,4.62771129701371e-05,-0.009021488846995737,0.0016115250482471241,0.2571965399723196,0.0
10.3600001,4.936776914866619,1.7904046120669505e-05,-0.005674643825263074,3.353045923553365e-05,-0.473264254866535,0.0
10.3700001,4.941776890800105,2.390678883196257e-06,-0.003102678425539878,0.0014080288078647835,0.32673574513346504,0.0
10.3800001,4.946776737320253,-3.6785525132375824e-05,-0.007835320974205228,0.0016452490875179162,0.07774708024601149,0.0
10.3900001,4.951776685154616,-5.962526331643243e-05,-0.004567963522870578,0.0027956241676182873,0.3562950207005845,0.0
10.4000001,4.9567766492350716,-7.857768153420551e-05,-0.003790492720410463,0.001068036317661888,-0.44370497929941555,0.0
10.4100001,4.961776649105633,-7.971539409141097e-05,-0.0002275425134046177,-0.0006884359791847385,-0.529695432970727,0.0
10.4200001,4.966776594709678,-0.00010303827104502604,-0.004664592306398773,0.00045646500248594784,0.2703045670292731,0.0
10.4300001,4.971776346630701,-0.0001528451804727319,-0.009961546636106043,0.0005820183714627728,0.039994084178898576,0.0
10.4400001,4.976776214916689,-0.0001891373666191434,-0.007258500965813312,0.001382223837009953,0.24559053501219388,0.0
10.4500001,4.981776097317533,-0.00022342989838521513,-0.006858560124024327,5.8915280746850776e-05,-0.39675690575594336,0.0
10.4600001,4.986776048859189,-0.00024544310113956073,-0.004402654773902388,-0.0008067750493537245,-0.2629341992275875,0.0
10.4700001,4.991775873708594,-0.0002872937316125008,-0.008370223831461823,-0.00233986743358187,-0.46928718500277117,0.0
10.4800001,4.996775571235523,-0.00034229045170256487,-0.010999565823737697,-0.0019326061074958997,0.11444797339580742,0.0
10.4900001,5.001774955616656,-0.0004207494198580583,-0.015692437673765408,-0.0029525600961348665,-0.3177964369762295,0.0
10.5000001,5.006774426518287,-0.0004934866437720556,-0.014547957939807333,-0.0030214902623086314,-0.03276501090136397,0.0
10.5100001,5.011773641018051,-0.0005821116140325711,-0.01772592230956963,-0.0010590435878024475,0.5844978280006453,0.0
10.5200001,5.01677282621149,-0.00067237457268246,-0.01805357241858327,-0.0009417871973612358,0.03140976834291853,0.0
10.5300001,5.021772453591691,-0.0007334160269798463,-0.012208594138576816,-0.0010272224360128495,-0.029739461339535506,0.0
10.5400001,5.026772099898246,-0.0007928871069138294,-0.01189449645514763,-0.0012169830546447293,-0.06179611780814288,0.0
